500;22,9;9;0;18,5;0,01;1;646
200;12;20,5;0;47,7;0,18;5;534
160;8,8;15,8;0;47,7;0,14;5;622
4;6,3;18,2;0;47,7;0,32;5;608
500;4,6;7,8;0;23,6;0,05;3;853
400;0,8;3,6;1;23,6;0,06;3;853
200;1,9;8,7;1;55,3;0,23;3;904
45;1,9;10,5;1;55,3;0,25;3;904
400;11,6;13,4;0;55,3;0,29;3;904
53;9,8;17,2;0;55,3;0,22;3;904
16;9,7;18,4;1;55,3;0,31;3;806
400;24,8;25,5;1;55,3;0,34;3;806
216;27,6;33,8;1;55,3;0,41;3;899
200;18;55,5;0;55,3;0,46;3;927
400;13,3;29,2;0;55,3;0,4;3;962
40;18,3;24,2;0;45,1;0,16;4;1077
200;6,1;17;1;45,1;0,08;4;1077
150;6,2;9,5;1;45,1;0,1;4;1077
400;13,8;15,2;0;45,1;0,09;4;1077
500;6,4;26,6;0;32;0,02;3;1157
160;10,4;8,7;1;9,8;0,02;5;1374
160;11,7;10,4;1;5,9;0,04;2;1452
300;8,5;7,1;0;10,6;0,03;5;1315
600;13,7;12,3;1;41;0,28;8;1235
67;19,2;16,6;1;41;0,19;8;1095
13;27,1;23,7;0;41;0,27;8;1142
400;19,7;26;0;41;0,31;8;1077
250;12,6;12,1;1;41;0,2;8;1142
400;17,3;17,1;0;41;0,23;8;1261
200;5,2;14,5;0;11;0,04;3;1457
48;9;8,4;0;27;0,06;4;1045
60;6,2;18,4;1;27;0,08;4;1045
4;10,7;14,6;0;48,6;0,1;4;1027
500;9,6;23,6;0;48,6;0,24;4;1027
400;1,9;15,8;1;48,6;0,23;4;1027
200;5,1;12,1;1;86,5;0,16;4;835
45;2,3;17,8;1;86,5;0,29;4;835
400;1,8;9,9;0;86,5;0,16;4;835
53;1,7;13,6;0;86,5;0,35;4;835
16;13,1;12,2;1;102,6;0,14;5;672
400;21,6;16,1;1;102,6;0,17;5;711
216;13,3;21,5;1;102,6;0,18;5;640
200;15,6;18,5;0;102,6;0,16;5;646
400;10,6;22,2;0;102,6;0,1;5;792
40;9,7;16,4;0;102,6;0,15;5;711
200;20,4;9,5;1;38,9;0,07;4;853
150;9,3;13;1;38,9;0,08;4;853
400;13,5;12,1;0;38,9;0,07;4;853
500;13,9;13,5;0;38,9;0,06;4;853
160;16,3;17,3;1;35,9;0,09;3;755
160;13,1;11,8;1;35,9;0,1;3;701
300;16,5;23,1;0;35,9;0,09;3;699
600;25;15,2;1;35,9;0,13;3;592
67;18,3;9,9;1;27,3;0,1;2;541
13;19,2;10,3;0;27,3;0,1;2;539
400;21,4;15,9;0;27,3;0,08;2;489
250;15,5;14,8;1;27,3;0,07;2;489
400;8,4;14,7;0;120,3;0,08;4;579
200;22,4;11,2;0;120,3;0,05;4;579
48;16,8;19,1;0;120,3;0,08;4;571
60;20,2;12;1;23,1;0,22;2;552
54;22;20,4;0;23,1;0,21;2;552
80;10,7;7,6;0;23,1;0,22;2;552
80;18,1;6,4;0;23,1;0,15;2;552
80;23,2;11,1;1;23,1;0,12;2;552
240;20,7;17;0;68,5;0,27;5;439
180;24,8;13,8;1;68,5;0,21;5;451
120;25,3;19,1;0;68,5;0,41;5;429
80;26,1;24,2;1;68,5;0,38;5;429
200;28;22,2;0;68,5;0,25;5;383
160;26,7;29,6;0;68,5;0,24;5;333
4;24,7;33,6;0;68,5;0,31;5;349
500;28,2;25,4;0;68,5;0,24;5;335
400;26,4;22,1;1;68,5;0,23;5;384
200;15,8;28;1;68,5;0,47;5;402
45;23,7;23,4;1;68,5;0,19;5;439
400;26,9;18,3;0;80,1;0,18;6;423
53,3;27,7;29,2;0;80,1;0,22;6;372
16;24,4;30,8;1;80,1;0,4;6;403
400;25,6;18,8;1;80,1;0,26;6;357
216;21;28,4;1;80,1;0,31;6;389
200;24;21,7;0;80,1;0,24;6;431
400;21,2;18,5;0;80,1;0,27;6;434
40;18,9;27,7;0;80,1;0,24;6;391
200;20,2;24,5;1;80,1;0,26;6;436
150;24,4;25,9;1;205,2;0,12;2;357
400;26,9;25,7;0;205,2;0,13;2;347
500;28,1;32,3;0;205,2;0,17;2;330
160;27,8;45,7;1;205,2;0,27;2;307
160;25,6;31,6;1;205,2;0,18;2;317
300;27,7;26,7;0;205,2;0,3;2;315
600;27,8;49,1;1;205,2;0,7;2;278
66,7;28,7;30,9;1;175,1;0,47;4;283
13,3;27,5;27,7;0;175,1;0,59;4;286
400;28,7;33;0;175,1;1,59;4;313
250;28,3;22,7;1;175,1;0,61;4;335
400;28,4;22,1;0;175,1;2,15;4;359
200;27,7;20;0;175,1;1,06;4;368
48;28,5;27,1;0;175,1;0,59;4;390
60;28,5;31,2;1;175,1;1,76;4;371
4;27,1;30,5;0;175,1;1;4;333
500;28,5;30,4;0;175,1;0,58;4;311
400;28,5;26,3;1;175,1;0,63;4;292
200;28,4;38,4;1;175,1;0,45;4;264
45;27,1;33,2;1;175,1;0,98;4;264
400;29;43,5;0;175,1;0,52;4;255
53,3;29;61,9;0;175,1;2,93;4;227
16;29;48,3;1;156,6;5,98;5;209
400;28,4;47,6;1;156,6;7,38;5;223
216;29;52,7;1;156,6;5;5;213
200;29;50;0;156,6;4,28;5;224
400;27,8;30;0;156,6;3,88;5;240
40;27,2;53,2;0;156,6;4,26;5;231
200;27,5;51;1;156,6;4,2;5;242
150;28,2;38,6;1;156,6;4,92;5;241
400;29;25,4;0;156,6;2,98;5;256
500;25,5;23,9;0;156,6;2,69;5;251
160;28,6;21,8;1;156,6;2,03;5;254
160;27,8;28,4;1;156,6;3,87;5;256
300;24;27,2;0;156,6;2,54;5;276
600;27,3;27;1;156,6;6,36;5;276
66,7;28,2;29,1;1;156,6;4,4;5;274
13,3;29;8,3;0;156,6;2,2;5;297
400;29;11,6;0;156,6;2,42;5;278
250;26,9;13,3;1;156,6;2,57;5;279
400;26,3;9,9;0;156,6;2,29;5;284
200;28,5;3,1;0;156,6;2,63;5;311
48;27,2;3,5;0;156,6;3,3;5;322
60;26,6;6;1;156,6;2,73;5;342
54;27;21;0;156,6;4,04;5;383
80;27,9;17,7;0;156,6;5,26;5;361
80;23;6,7;0;156,6;3,62;5;323
80;27,9;21,9;1;156,6;3,24;5;383
240;27,6;20;0;156,6;4,14;5;332
180;27,4;20,4;1;156,6;4,41;5;357
120;28,2;26;0;156,6;2,17;5;383
80;25,7;21,7;1;156,6;4,17;5;377
200;24,4;26,4;0;32,4;0,25;5;410
160;19,9;16,3;0;32,4;0,17;5;418
400;9,6;17,4;0;32,4;0,15;5;427
500;13,7;9,6;0;32,4;0,12;5;495
400;21,3;18,2;1;32,4;0,13;5;562
200;21,6;11,3;1;32,4;0,1;5;524
45;16,9;12,5;1;32,4;0,12;5;461
400;24,2;9,1;0;19,7;0,1;3;447
53;18;13,6;0;19,7;0,12;3;433
16;26,7;17;1;19,7;0,12;3;410
400;27,7;8,7;1;19,7;0,16;3;427
216;26;10,2;1;19,7;0,18;3;450
200;20;25,2;0;19,7;0,15;3;472
400;15,5;23,7;0;19,7;0,11;3;518
40;11,9;8;0;19,7;0,1;3;505
200;8,4;12;1;27,5;0,14;5;599
150;11,3;8,2;1;27,5;0,23;5;722
400;6,2;9,7;0;27,5;0,15;5;722
500;8,9;9,2;0;27,5;0,16;5;1024
160;7,6;8,4;1;27,5;0,12;5;1024
160;2,9;5,2;1;27,5;0,16;5;1024
300;5,5;9,1;0;23,4;0,04;1;983
600;9,3;7,9;1;23,4;0,03;1;983
66,7;9,9;5,3;1;3,7;0,02;4;892
13,3;10,6;7,3;0;12,2;0,07;2;1155
400;11,1;15,5;0;12,2;0,08;2;1155
250;4,4;11,9;1;12,2;0,07;2;1155
400;4;8,2;0;11,8;0,06;3;1209
200;11,1;8;0;11,8;0,03;3;1209
48;4,6;13,4;0;16,2;0,06;2;991
60;9,6;5,6;1;16,2;0,04;2;991
4;9,3;6,9;0;21,4;0,06;4;809
500;6,5;5,2;0;21,4;0,04;4;809
400;15,2;19,6;1;84,7;0,25;4;623
200;21,1;19,7;1;84,7;0,41;4;688
45;17,1;32,5;1;84,7;0,45;4;688
400;29;26,4;0;84,7;0,24;4;670
53;26,7;41,6;0;84,7;0,78;4;612
16;25,7;31,1;1;84,7;0,31;4;613
400;15,6;43,2;1;84,7;0,68;4;579
216;9,4;28,9;1;84,7;0,39;4;577
200;2,8;16,9;0;84,7;0,25;4;623
400;12,3;53,2;0;84,7;0,52;4;567
40;16,2;17;0;84,7;0,36;4;623
200;24,7;24,3;1;111,1;0,08;5;492
150;27,2;17,4;1;111,1;0,13;5;541
400;26,8;32,3;0;111,1;0,2;5;457
500;25,7;18,9;0;111,1;0,21;5;531
160;26,5;17,5;1;49,6;0,64;8;452
160;22,5;38,6;1;49,6;0,73;8;482
300;23,4;17,9;0;49,6;1,12;8;517
600;22,7;13,7;1;49,6;1,11;8;517
66;24,1;7,5;1;49,6;0,57;8;457
13;25,1;8,3;0;49,6;0,95;8;457
400;23,2;5,6;0;49,6;0,69;8;508
250;4,9;11,4;1;49,6;0,74;8;508
400;6,2;7,1;0;49,6;0,54;8;533
200;19,7;6,8;0;49,6;0,8;8;533
48;22,3;21;0;49,6;0,97;8;580
60;21,3;9,5;1;49,6;0,83;8;580
54;20,4;4,4;0;49,6;1,04;8;606
80;19,3;7,1;0;49,6;0,6;8;577
80;17,8;14,5;0;49,6;0,81;8;577
80;22,2;19,6;1;49,6;0,59;8;577
240;20,8;17,2;0;49,6;0,94;8;655
180;5,4;8,5;1;49,6;0,92;8;655
120;12,2;11,4;0;39,4;0,15;6;978
80;15,7;13,3;1;39,4;0,17;6;978
200;18,9;20,5;0;39,4;0,2;6;1001
160;15,3;22,3;0;39,4;0,19;6;1001
4;2,3;20,2;0;39,4;0,19;6;1112
500;22,2;9,3;0;39,4;0,23;6;1112
400;20,4;22,5;1;46,9;0,37;7;1257
200;10,1;33,2;1;46,9;0,34;7;1257
45;23;16,5;1;46,9;0,61;7;1273
400;14,2;18,3;0;46,9;0,35;7;1273
56;5,1;17,1;0;46,9;0,3;7;1237
16;3,8;11,8;1;46,9;0,34;7;1237
400;2,6;10,6;1;46,9;0,25;7;1169
216;2;6,5;1;46,9;0,39;7;1169
200;2,4;6,4;0;46,9;0,15;7;1407
400;9,3;6,4;0;46,9;0,66;7;1407
40;5,5;11,8;0;29,1;0,09;1;1457
200;9,9;16,7;1;29,1;0,06;1;1457
150;25,2;5,6;1;30;0,03;3;1001
400;29;9,2;0;31,8;1,1;5;285
500;29;14;0;31,8;1,19;5;299
160;23,7;12,4;1;31,8;1,18;5;318
160;25,9;17,3;1;31,8;0,97;5;334
300;26,5;13,1;0;31,8;0,96;5;338
160;27,8;45,7;1;205,2;0,27;2;307
160;25,6;31,6;1;205,2;0,18;2;317
300;27,7;26,7;0;205,2;0,3;2;315
600;27,8;49,1;1;205,2;0,7;2;278
66,7;28,7;30,9;1;175,1;0,47;4;283
13,3;27,5;27,7;0;175,1;0,59;4;286
400;28,7;33;0;175,1;1,59;4;313
250;28,3;22,7;1;175,1;0,61;4;335
400;28,4;22,1;0;175,1;2,15;4;359
200;27,7;20;0;175,1;1,06;4;368
48;28,5;27,1;0;175,1;0,59;4;390
60;28,5;31,2;1;175,1;1,76;4;371
4;27,1;30,5;0;175,1;1;4;333
500;28,5;30,4;0;175,1;0,58;4;311
400;28,5;26,3;1;175,1;0,63;4;292
200;28,4;38,4;1;175,1;0,45;4;264
45;27,1;33,2;1;175,1;0,98;4;264
400;29;43,5;0;175,1;0,52;4;255
53,3;29;61,9;0;175,1;2,93;4;227
60;6,2;18,4;1;27;0,08;4;1045
4;10,7;14,6;0;48,6;0,1;4;1027
500;9,6;23,6;0;48,6;0,24;4;1027
400;1,9;15,8;1;48,6;0,23;4;1027
200;5,1;12,1;1;86,5;0,16;4;835
45;2,3;17,8;1;86,5;0,29;4;835
400;1,8;9,9;0;86,5;0,16;4;835
53;1,7;13,6;0;86,5;0,35;4;835
16;13,1;12,2;1;102,6;0,14;5;672
400;21,6;16,1;1;102,6;0,17;5;711
216;13,3;21,5;1;102,6;0,18;5;640
200;15,6;18,5;0;102,6;0,16;5;646
400;10,6;22,2;0;102,6;0,1;5;792
40;9,7;16,4;0;102,6;0,15;5;711
200;20,4;9,5;1;38,9;0,07;4;853
150;9,3;13;1;38,9;0,08;4;853
400;13,5;12,1;0;38,9;0,07;4;853
500;13,9;13,5;0;38,9;0,06;4;853
160;16,3;17,3;1;35,9;0,09;3;755
160;13,1;11,8;1;35,9;0,1;3;701
300;16,5;23,1;0;35,9;0,09;3;699
600;25;15,2;1;35,9;0,13;3;592
67;18,3;9,9;1;27,3;0,1;2;541
13;19,2;10,3;0;27,3;0,1;2;539
400;21,4;15,9;0;27,3;0,08;2;489
250;15,5;14,8;1;27,3;0,07;2;489
400;8,4;14,7;0;120,3;0,08;4;579
200;22,4;11,2;0;120,3;0,05;4;579
48;16,8;19,1;0;120,3;0,08;4;571
60;20,2;12;1;23,1;0,22;2;552
54;22;20,4;0;23,1;0,21;2;552
80;10,7;7,6;0;23,1;0,22;2;552
80;18,1;6,4;0;23,1;0,15;2;552
80;23,2;11,1;1;23,1;0,12;2;552
240;20,7;17;0;68,5;0,27;5;439
180;24,8;13,8;1;68,5;0,21;5;451
120;25,3;19,1;0;68,5;0,41;5;429
80;26,1;24,2;1;68,5;0,38;5;429
200;28;22,2;0;68,5;0,25;5;383
160;26,7;29,6;0;68,5;0,24;5;333
4;24,7;33,6;0;68,5;0,31;5;349
500;28,2;25,4;0;68,5;0,24;5;335
400;26,4;22,1;1;68,5;0,23;5;384
200;15,8;28;1;68,5;0,47;5;402
45;23,7;23,4;1;68,5;0,19;5;439
400;26,9;18,3;0;80,1;0,18;6;423
53,3;27,7;29,2;0;80,1;0,22;6;372
16;24,4;30,8;1;80,1;0,4;6;403
400;25,6;18,8;1;80,1;0,26;6;357
216;21;28,4;1;80,1;0,31;6;389
200;24;21,7;0;80,1;0,24;6;431
400;21,2;18,5;0;80,1;0,27;6;434
40;18,9;27,7;0;80,1;0,24;6;391
200;20,2;24,5;1;80,1;0,26;6;436
